"corp_code","induty_code"
"00100258","13101"
"00100601","289"
"00100717","467"
"00100939","20411"
"00100957","4111"
"00101044","212"
"00101220","201"
"00101257","41112"
"00101275","13212"
"00101336","35200"
"00101433","2032"
"00101442","26310"
"00101488","28520"
"00101549","212"
"00101628","47119"
"00101637","2642"
"00101664","211"
"00101752","109"
"00101947","2229"
"00101992","29172"
"00102113","20132"
"00102140","2629"
"00102353","30331"
"00102432","412"
"00102618","291"
"00102645","2611"
"00102681","41221"
"00102751","105"
"00102760","41112"
"00102821","23311"
"00102858","24213"
"00103006","2411"
"00103015","212"
"00103042","49301"
"00103121","1090"
"00103130","467"
"00103176","65121"
"00103325","10895"
"00103510","30310"
"00103547","21230"
"00103583","14111"
"00103592","21220"
"00103626","467"
"00103635","301"
"00103644","64992"
"00103662","28123"
"00104102","64919"
"00104120","24121"
"00104388","20111"
"00104519","49301"
"00104537","231"
"00104573","179"
"00104698","46800"
"00104704","64131"
"00104722","212"
"00104768","28302"
"00104786","620"
"00104810","468"
"00104856","66121"
"00104892","28303"
"00104971","65121"
"00104999","46413"
"00105040","303"
"00105101","715"
"00105138","292"
"00105156","19221"
"00105165","28302"
"00105183","15110"
"00105244","21212"
"00105271","20411"
"00105280","64992"
"00105299","2413"
"00105466","41112"
"00105475","2419"
"00105509","13103"
"00105606","303"
"00105767","2629"
"00105855","28121"
"00105873","2621"
"00105952","64992"
"00105961","262"
"00106119","201"
"00106313","41112"
"00106368","201"
"00106395","28410"
"00106456","91249"
"00106483","2642"
"00106492","26"
"00106508","10602"
"00106614","29293"
"00106623","303"
"00106641","30121"
"00106650","30"
"00106669","2411"
"00106881","14112"
"00107066","41221"
"00107224","24222"
"00107303","24222"
"00107358","46493"
"00107446","13922"
"00107598","104"
"00107613","2622"
"00107677","14120"
"00107923","1710"
"00107987","20312"
"00108001","411"
"00108038","22232"
"00108047","20202"
"00108065","759"
"00108135","715"
"00108241","108"
"00108490","20202"
"00108612","204"
"00108649","29142"
"00108746","29176"
"00108913","851"
"00108940","715"
"00108977","47111"
"00109019","64121"
"00109037","64209"
"00109161","20121"
"00109170","2622"
"00109189","64992"
"00109268","467"
"00109286","29210"
"00109310","292"
"00109453","3111"
"00109514","23325"
"00109587","25991"
"00109648","26"
"00109693","20111"
"00109718","10211"
"00109754","23222"
"00109781","179"
"00109806","23325"
"00109824","25993"
"00110051","20122"
"00110060","64132"
"00110079","47111"
"00110176","28302"
"00110307","3111"
"00110431","212"
"00110495","715"
"00110547","28302"
"00110583","265"
"00110608","242"
"00110750","64209"
"00110875","62021"
"00110884","465"
"00110893","66121"
"00110963","41221"
"00110981","2629"
"00111014","64132"
"00111111","24122"
"00111193","31114"
"00111218","411"
"00111227","1710"
"00111421","2642"
"00111458","1721"
"00111591","2612"
"00111689","303"
"00111704","3111"
"00111722","66121"
"00111810","212"
"00111829","21100"
"00111838","41112"
"00111847","303"
"00111865","461"
"00111874","303"
"00111999","212"
"00112004","21100"
"00112022","22214"
"00112059","66121"
"00112068","13109"
"00112165","303"
"00112332","65110"
"00112378","319"
"00112457","109"
"00112651","24221"
"00112679","303"
"00112721","24122"
"00112819","141"
"00112907","35200"
"00112970","132"
"00112998","65122"
"00113058","65110"
"00113128","212"
"00113173","24222"
"00113191","65200"
"00113207","28302"
"00113225","2411"
"00113234","105"
"00113243","105"
"00113261","283"
"00113359","66121"
"00113410","493"
"00113492","171"
"00113508","64992"
"00113526","511"
"00113535","50112"
"00113544","20501"
"00113562","65121"
"00113614","14112"
"00113632","2922"
"00113696","41221"
"00113997","2629"
"00114093","22214"
"00114154","303"
"00114215","24222"
"00114303","61210"
"00114321","14112"
"00114552","72121"
"00114686","212"
"00114765","303"
"00114792","649"
"00114808","212"
"00114826","64209"
"00115038","66121"
"00115065","201"
"00115287","529"
"00115384","2032"
"00115427","10520"
"00115472","24121"
"00115612","412"
"00115676","24122"
"00115694","66121"
"00115931","27192"
"00115977","2332"
"00116073","64209"
"00116268","212"
"00116301","2419"
"00116356","201"
"00116408","41221"
"00116426","2413"
"00116499","21212"
"00116806","30"
"00116824","64992"
"00116860","66121"
"00116949","28202"
"00117027","24222"
"00117072","41221"
"00117179","64992"
"00117188","649"
"00117212","64992"
"00117230","29210"
"00117258","47111"
"00117267","65110"
"00117276","211"
"00117300","24191"
"00117337","23322"
"00117382","29162"
"00117498","64201"
"00117577","649"
"00117601","66121"
"00117629","2413"
"00117638","26"
"00117708","46712"
"00117726","301"
"00117744","65121"
"00117966","41112"
"00118008","303"
"00118026","64992"
"00118044","03111"
"00118266","221"
"00118275","27212"
"00118284","24312"
"00118345","46103"
"00118451","24122"
"00118460","1710"
"00118521","212"
"00118804","20129"
"00118965","289"
"00119007","171"
"00119140","303"
"00119195","212"
"00119362","2629"
"00119423","22214"
"00119672","303"
"00119733","2642"
"00120021","64992"
"00120030","4111"
"00120076","4610"
"00120100","20111"
"00120182","66121"
"00120216","65121"
"00120289","331"
"00120377","28201"
"00120508","10422"
"00120526","47111"
"00120562","64992"
"00120571","11209"
"00120872","24123"
"00120906","204"
"00120924","104"
"00120960","2642"
"00121039","212"
"00121154","108"
"00121251","1089"
"00121288","46452"
"00121507","171"
"00121534","11121"
"00121543","11122"
"00121570","2419"
"00121686","262"
"00121729","47111"
"00121932","204"
"00121941","108"
"00121969","412"
"00122056","19221"
"00122205","464"
"00122339","591"
"00122348","132"
"00122436","24122"
"00122472","20131"
"00122481","23312"
"00122551","22214"
"00122579","14120"
"00122694","411"
"00122728","13213"
"00122737","50112"
"00122825","612"
"00122898","23999"
"00122922","41112"
"00123107","2049"
"00123143","212"
"00123152","32029"
"00123514","18113"
"00123523","11121"
"00123541","11122"
"00123648","29230"
"00123718","212"
"00123772","66121"
"00123781","2413"
